nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-21,88,False,https://i.scdn.co/image/ab67616d0000b273a21d22ecf823e1c90aa22d1f,https://open.spotify.com/track/6393yGahSJ9slVdOwSxOVR,, Chappell Roan The Rise and Fall of a Midwest Princess False
PASSO BEM SOLTO - Slowed,ATLXS,PASSO BEM SOLTO,2024-04-23,91,False,https://i.scdn.co/image/ab67616d0000b27336385e0fad3c87e8e8f19071,https://open.spotify.com/track/4sTlQPMyoFMPdhAJvErBN3,"phonk, brazilian phonk","phonk, brazilian phonk ATLXS PASSO BEM SOLTO False"
Morena,"Neton Vega, Peso Pluma",Mi Vida Mi Muerte,2025-02-14,92,False,https://i.scdn.co/image/ab67616d0000b2735c0540f97b3f95e387a9b58e,https://open.spotify.com/track/4oB8Xd7gMlUEtWoD8bmCXW,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico","corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico Neton Vega, Peso Pluma Mi Vida Mi Muerte False"
Gnarly,KATSEYE,Gnarly,2025-04-30,89,True,https://i.scdn.co/image/ab67616d0000b2738a30c41e2c9336c293ebebfe,https://open.spotify.com/track/1j15Ar0qGDzIR0v3CQv3JL,k-pop,k-pop KATSEYE Gnarly True
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,94,True,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,"hip hop, west coast hip hop","hip hop, west coast hip hop Kendrick Lamar Not Like Us True"
Sports car,Tate McRae,So Close To What,2025-02-20,89,False,https://i.scdn.co/image/ab67616d0000b273ec58cd730a52c5899b947d3e,https://open.spotify.com/track/5UJbgR4XF4y1DvbkxEqe8S,, Tate McRae So Close To What False
Just In Case,Morgan Wallen,I’m The Problem,2025-05-16,83,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5z0LSDpPpGwc2ZyJHpsE3J,country,country Morgan Wallen I’m The Problem False
Te Quería Ver,"Alemán, Neton Vega",De Vuelta a las Andadas,2025-05-09,80,False,https://i.scdn.co/image/ab67616d0000b273e74e15dbe6fba4a2cd3b5d7a,https://open.spotify.com/track/2JPctdUgvkQSpnUdfROxvY,"mexican hip hop, latin hip hop, electro corridos","mexican hip hop, latin hip hop, electro corridos Alemán, Neton Vega De Vuelta a las Andadas False"
I Got Better,Morgan Wallen,I’m The Problem,2025-05-16,84,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/4gfrYDtaRmp6HPvN80V2ob,country,country Morgan Wallen I’m The Problem False
I'm The Problem,Morgan Wallen,I’m The Problem,2025-05-16,81,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/7AeM1BGYM7emrqmQn1PuWv,country,country Morgan Wallen I’m The Problem False
Superman,Morgan Wallen,I’m The Problem,2025-05-16,82,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/3KC1yCIfkLrRaeeMUEKvg3,country,country Morgan Wallen I’m The Problem False
I Ain't Comin' Back (feat. Post Malone),"Morgan Wallen, Post Malone",I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/1BDLD4c07q0bmq2VCRsXoE,country,"country Morgan Wallen, Post Malone I’m The Problem False"
Love Somebody,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5mAGsieQbw180sYdL3RMKk,country,country Morgan Wallen I’m The Problem False
20 Cigarettes,Morgan Wallen,I’m The Problem,2025-05-16,81,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/0YsIYFRoxkmEvbKCwTp0Tg,country,country Morgan Wallen I’m The Problem False
